id,revenue,gas_fee_base_raw,profit
12896,0,10462832,-10462832
12897,42500990,14162775,28338215
12898,42500990,14162775,28338215
12899,42500990,14162775,28338215
12900,42500990,14162775,28338215
12901,42500990,14162775,28338215
12902,42500990,14162775,28338215
12903,42500990,14162775,28338215
12904,42500990,14162775,28338215
12905,42500990,14162775,28338215
12906,42500990,14162775,28338215
433,0,13641588,-13641588
12907,71812527,25720362,46092165
438,0,26119629,-26119629
409,0,26119629,-26119629
418,0,18926133,-18926133
12251,76917899,24305706,52612193
12252,0,13759001,-13759001
12253,0,13759001,-13759001
12254,0,13759001,-13759001
12908,22965181,33425989,-10460808
12909,22965181,33425989,-10460808
12255,101686009,27572569,74113440
12256,101686009,27572569,74113440
12257,0,16108622,-16108622
12258,826602027,40664799,785937228
402,0,14961522,-14961522
411,0,14961522,-14961522
436,0,14961522,-14961522
6996,0,15088628,-15088628
6997,0,14509271,-14509271
6512,37456750,16950193,20506557
7998,81030317,20577044,60453273
12910,32902529,18821431,14081098
12911,32902529,18821431,14081098
6513,133806800,42338518,91468282
6402,102757529,31239595,71517934
6403,40183719,15876894,24306825
665,0,94156222,-94156222
666,0,94156222,-94156222
5530,0,13501372,-13501372
6514,97174977,10701955,86473022
6515,58904689,10012131,48892558
6998,296973939,6056838,290917101
6516,32116363,8880222,23236141
6517,35997130,5249289,30747841
6518,598299799,31604032,566695767
11988,90437978,30062102,60375876
667,0,23003677,-23003677
668,0,23003677,-23003677
669,0,23003677,-23003677
12259,0,16207308,-16207308
11989,0,10326702,-10326702
6519,39427723,11848987,27578736
12260,70394709,15631237,54763472
11990,4872103,8673449,-3801346
670,0,7782566,-7782566
11991,42855451,8633489,34221962
6520,61947022,15611553,46335469
12261,344016239,13779293,330236946
12299,164889301,30366748,134522553
7628,23210977,24260396,-1049419
7629,58778847,21066826,37712021
671,0,8911206,-8911206
6404,147290346,18076221,129214125
12300,114418335,7661483,106756852
672,0,13816101,-13816101
673,0,13816101,-13816101
12301,403622034,11320438,392301596
6405,34144633,12764863,21379770
12302,0,12855284,-12855284
12303,0,26308163,-26308163
12304,0,17224077,-17224077
12305,101730222,18676934,83053288
12306,44223724,20257036,23966688
12307,44223724,20257036,23966688
12308,44223724,20257036,23966688
12309,44223724,20257036,23966688
12310,97265291,11410425,85854866
12311,54815266,29288885,25526381
12312,85345311,91909894,-6564583
12313,72781105,29792510,42988595
12314,89520438,17452464,72067974
674,0,28044662,-28044662
675,0,28044662,-28044662
676,0,28044662,-28044662
12315,80367763,42478663,37889100
12316,2623541322,46273252,2577268070
12317,0,136328794,-136328794
12318,0,127201462,-127201462
12319,176325364,66352421,109972943
12320,161955009,133396024,28558985
12321,248776096,148303413,100472683
12322,125454585,15492245,109962340
12323,86093281,10256512,75836769
12324,0,38570345,-38570345
12325,238815745,116587254,122228491
12326,137192398,36650621,100541777
12327,373717176,124448232,249268944
12328,280041786,16009931,264031855
12330,0,23671062,-23671062
12329,0,23671062,-23671062
12331,70351248,16035569,54315679
12332,41187539,14949575,26237964
12333,121763450,15322035,106441415
12334,121763450,15322035,106441415
12335,62482863,33515186,28967677
6521,67745401,44290966,23454435
7999,52678736,13635887,39042849
6522,91865970,11027603,80838367
12336,91546871,13703425,77843446
12337,0,103787767,-103787767
12338,342604697,10417922,332186775
12339,291857106,99493079,192364027
11992,68074732,15340995,52733737
12340,136521892,53620722,82901170
12341,0,18610494,-18610494
12342,31238073,16307921,14930152
12343,31238073,16307921,14930152
12344,9136330,148795182,-139658852
12345,9136330,148795182,-139658852
12346,9136330,148795182,-139658852
12347,56752909,14217533,42535376
12348,28937344,15541394,13395950
12349,0,133995550,-133995550
12350,57360544,164518563,-107158019
12351,57360544,164518563,-107158019
12352,57360544,164518563,-107158019
12353,57360544,164518563,-107158019
12354,57360544,164518563,-107158019
12355,270587572,15022059,255565513
12356,66481644,13661440,52820204
6523,65052149,23166232,41885917
12357,94047761,27010855,67036906
12358,68479517,39010529,29468988
6406,0,30419142,-30419142
6407,0,30419142,-30419142
12359,0,87863556,-87863556
12360,0,141824144,-141824144
12361,0,86394454,-86394454
12362,477192018,33718092,443473926
12363,477192018,33718092,443473926
12364,477192018,33718092,443473926
12365,461897100,26003953,435893147
12366,461897100,26003953,435893147
12367,461897100,26003953,435893147
12368,461897100,26003953,435893147
12369,908349643,165292747,743056896
12370,908349643,165292747,743056896
12371,516803750,19817195,496986555
11993,0,16198508,-16198508
12372,285554582,104861598,180692984
12373,57629663,15280498,42349165
12374,71792014,11516550,60275464
12375,34785528,8159297,26626231
12376,45546299,16210187,29336112
